used_for,value,counter,reading,read_key,usage_notes,priority,source,add_date,revision_date,also_used_for
method,,通り,#toori,#toori,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,"way,procedure"
nabe,,鍋,#nabe,#nabe,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,nabe pot
son,2,男,jinan,nan,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
son,,男,nan,nan,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
handful,,握り,#nigiri,#nigiri,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,
wave,,波 ,*ha,*ha,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2022-11-05,"tsunami,ripple,radio wave,radio signal,air raid,demonstration,protest,crowd"
group,,派,ha,ha,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"faction,denomination,school,political party,buddhist sect"
multiple,,倍,bai,bai,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
beat,,拍,haku,haku,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"musical time,mora"
brush stroke,,刷毛,#hake,#hake,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,
horse length,,馬身,bashin,bashin,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
roe sack,,腹,-hara,-hara,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,clutch of eggs
stitch,,針,#hari,#hari,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,"seam,suture"
spreadable object,,張,-hari,-hari,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"tent,curtain,banner,mosquito net,paper lantern,instrument string,bowstring,bow,pavilion,bamboo screen"
crime,,犯,han,han,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"criminal record,jail record,prison record"
edition,,版,han,han,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"impression,printing,issue"
group,,班,han,han,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,squad
spot on fur,,斑,han,han,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
night,,晩,#ban,#ban,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,
fish,,尾,bi,bi,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"shrimp,prawn,crab,crayfish,lobster"
signature,,筆,hitsu,hitsu,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"message,book,brush stroke,calligraphy,calligraphy stroke,stroke"
plot of land,,筆,hitsu,hitsu,,3,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,division of land
musical time,,拍子,hyoushi,hyoushi,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,beat
glass bottle,,瓶,#bin,#bin,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,"glass jar,thermos,phial,vial,decanter,flagon"
number of ingredient,,品目,hinmoku,hinmoku,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"item,variety of dishes,type of product,type of meal,type of exhibit"
division,,部,bu,bu,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"copy of book,copy of magazine,copy of document,department,part of play,part of report,book in series,play in series"
envelope of money,,封,fuu,fuu,,4,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"envelope of official letters,sealed will"
dose,,服,fuku,fuku,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"dose of medicine,sip of tea,puff of cigarette,rest"
bunch,,房,-fusa,-fusa,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"tuft,fringe,orange segment,tangerine segment"
bamboo joint,,節,#fushi,#fushi,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,"tree knot,part of poem,stage of life,season"
buddha statue,,仏,butsu,butsu,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
brush stroke,,筆,#fude,#fude,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,
boat,,舟,#fune,#fune,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,boat-shaped dishes of food
swing,,振り,#furi,#furi,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,"sword swing,golf swing,sprinkle of spice,drizzle of sauce,wag,tail wag,shake,shake of cocktail,shake of bottle"
sentence,,文,bun,bun,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
phrase,,文節,bunsetsu,bunsetsu,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,clause
side of polygon,,辺,hen,hen,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"side,edge,border,table edge,tatami mattress border,carpet border"
action,,遍,hen,hen,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"deed,experience"
poem,,編,hen,hen,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"essay,novel,part of story,academic paper"
poem,,篇,hen,hen,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"essay,novel,part of story,academic paper"
petal,,弁,ben,ben,petals still attached to a flower,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
bag of powdered medicine,,包,hou,hou,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,bag of granulated medicine
steep mountain,,峰,hou,hou,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,pointed mountain
steep mountain,,峰,-mine,-mine,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,pointed mountain
news,,報,hou,hou,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"report,information,update"
tatami room,,間,#ma,#ma,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,room
number of wraps,,巻,-maki,-maki,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"bandage,hair curl,clock wind,rope coil,fishing line reel,roll of tape"
number of wraps,,巻き,#maki,#maki,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,"bandage,hair curl,clock wind,rope coil,fishing line reel,roll of tape"
act,,幕,#maku,#maku,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,memorable moment
square on paper,,升,#masu,#masu,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,"box on paper,blank space,masu cup"
square on paper,,枡,-masu,-masu,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"box on paper,blank space,masu cup"
round,1,回り,hitomawari,mawari,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"circuit,lap,revolution"
round,2,回り,futamawari,mawari,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"circuit,lap,revolution"
round,3,回り,mimawari,mawari,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"circuit,lap,revolution"
round,1,廻り,hitomawari,mawari,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"circuit,lap,revolution"
round,2,廻り,futamawari,mawari,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"circuit,lap,revolution"
round,3,廻り,mimawari,mawari,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"circuit,lap,revolution"
round,1,周り,hitomawari,mawari,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"circuit,lap,revolution"
round,2,周り,futamawari,mawari,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"circuit,lap,revolution"
round,3,周り,mimawari,mawari,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"circuit,lap,revolution"
seam,,目,#me,#me,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,"seam,suture,stitch,mesh,manuscript square,notebook square,pip,look,glance"
surface,,面,men,men,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"newspaper page,monitor,digital sign,game board,video game stage,sports field,rink,ring,field,mask,abacus,binocular"
surface,,面,men,men,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"inkstone,traditional instrument,folding fan,framed painting"
pile,,盛,-mori,-mori,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"heap,pile of food,bowl of food"
pile,,盛り,-mori,-mori,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"heap,pile of food,bowl of food"
night,,夜,ya,ya,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
mountain,,山,#yama,#yama,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,"pile,mound"
wing,,翼,yoku,yoku,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"bird wing,airplane wing,bird,role,spot,post"
serving of food,,装い,-yosoi,-yosoi,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"serving,set of clothes,set of costumes,set of furniture"
train car,,両,ryou,ryou,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"horse carriage,horse cart,horse wagon"
circle,,輪,rin,rin,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"ring,hoop,wheel,flower"
baseball base,,塁,rui,rui,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
bow,,礼,rei,rei,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,nod
mountain range,,嶺,rei,rei,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
mountain range,,嶺,ryou,ryou,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
line,,列,retsu,retsu,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"queue,row of seats"
strung item,,連,ren,ren,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"necklace pearl,bead,dried octopus,sausage link,gacha roll"
year spent studying after failing entrance exam,,浪,rou,rou,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
train line,,路線,rosen,rosen,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"bus line,bus route"
bunch,,把,wa,wa,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,bundle
frame,,枠,-waku,-waku,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,"window frame,box on paper,border on paper,job position,position,time slot"
horse racing gate,,枠,waku,waku,,2,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,,
bowlful,,椀,#wan,#wan,,3,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-06,2026-01-16,"bowl of soup,bowl of meal,bowl of rice"
floor,3,階,sangai,kai,,1,,2026-01-16,,
age,20,歳,hatachi,sai,,1,,2026-01-16,,
people,4,人,yonin,nin,,1,,2026-01-16,,
person,,方,#kata,#kata,,1,https://en.wiktionary.org/wiki/Appendix:Japanese_counters,2026-01-16,,people
word with someone,1,声,hitokoe,koe,,2,https://en.wiktionary.org/wiki/Appendix:Japanese_counters,2026-01-16,,"sound,noise,word"
word with someone,2,声,futakoe,koe,,2,https://en.wiktionary.org/wiki/Appendix:Japanese_counters,2026-01-16,,"sound,noise,word"
word with someone,3,声,mikoe,koe,,2,https://en.wiktionary.org/wiki/Appendix:Japanese_counters,2026-01-16,,"sound,noise,word"
set of matching pieces,3,揃い,mitsuzoroi,-soroi,,2,https://en.wiktionary.org/wiki/Appendix:Japanese_counters,2026-01-16,,
